name,BCELoss,IsotonicBCE,Focal Loss,IsotonicFocal,Dice++Loss
1J1,0.8936689,0.86538464,0.9610982,0.9,0.88906837
1Q6,0.89715517,0.9611651,0.9619688,0.9,0.89812213
1V3,0.89707917,0.9611651,0.960694,0.9,0.8983682
1VE,0.89460623,0.88372093,0.96205777,0.9,0.8875779
1V3,0.8977895,0.9611651,0.964435,0.9,0.8968789
5WQ,0.89670324,0.91818184,0.960107,0.9,0.8945302
2XF,0.8972298,0.9611651,0.96099687,0.9,0.89447784
1J1,0.8939443,0.88372093,0.9640806,0.9,0.88932145
1Q6,0.89690775,0.9611651,0.9614607,0.9,0.89788055
b19,0.89369714,0.86538464,0.96246964,0.9,0.88876534
b1a,0.89406407,0.88372093,0.96271074,0.9,0.88905
b3b,0.89646465,0.91818184,0.9600663,0.9,0.8956095
b97,0.89370066,0.86538464,0.9627353,0.9,0.88880014
ba8,0.8936078,0.86538464,0.9624726,0.9,0.88880175
bad,0.89682,0.9321258,0.9617774,0.9,0.89791524
bae,0.89668477,0.91818184,0.95938367,0.9,0.89445186
3th,0.89646983,0.91818184,0.9702711,0.9535865,0.8881632
1TY,0.89599776,0.91818184,0.97587013,0.9535865,0.8889533
1TY,0.8955245,0.88372093,0.975049,0.9535865,0.8922769
1TY,0.8955767,0.88372093,0.9750522,0.9535865,0.89227927
1TS,0.8953201,0.88372093,0.9732756,0.9535865,0.89008296
1QA,0.896646,0.91818184,0.97367823,0.9535865,0.8907798
1QA,0.89675176,0.91818184,0.97589976,0.9535865,0.8913549
1QA,0.8967363,0.91818184,0.97542363,0.9535865,0.8912475
1TY,0.89558023,0.88372093,0.97502977,0.9535865,0.89227855
1CL,0.8956603,0.88372093,0.97423077,0.9535865,0.89204353
b3d,0.8963843,0.91818184,0.9706788,0.9535865,0.8881131
2ZQ,0.888492,0.62068963,0.9108235,0.7586207,0.90873647
2ZQ,0.89802736,0.9611651,0.9552168,0.9,0.8953543
2DR,0.89843917,0.9611651,0.95800316,0.9,0.8961422
2DR,0.8984288,0.9611651,0.95805794,0.9,0.8961516
b2f,0.8917431,0.77319586,0.90723276,0.7586207,0.9017782
1G8,0.8978236,0.9611651,0.9808512,1.0,0.9015122
1ax,0.8982104,0.9611651,0.9803545,1.0,0.8992983
3n3,0.89829177,0.9611651,0.9802951,1.0,0.89759743
5t5,0.8978889,0.9611651,0.9805489,1.0,0.900562
5kx,0.89794534,0.9611651,0.9802823,1.0,0.9015159
5t5,0.8975437,0.9611651,0.9798503,1.0,0.89717764
1ax,0.898219,0.9611651,0.9803577,1.0,0.8992925
1ri,0.8961573,0.91818184,0.9762597,0.9582795,0.9016187
4xt,0.8974477,0.9611651,0.98031414,1.0,0.901971
4xt,0.8970005,0.9611651,0.9802846,1.0,0.90031207
1gz,0.898238,0.9611651,0.980411,1.0,0.89755374
1ax,0.89820033,0.9611651,0.98035735,1.0,0.89929974
1ax,0.89822763,0.9611651,0.9803601,1.0,0.89929205
3zy,0.89802885,0.9611651,0.9805381,1.0,0.90036345
1gz,0.89821464,0.9611651,0.9804167,1.0,0.8975492
2AR,0.8990005,0.9611651,0.98022294,1.0,0.8973571
1HK,0.8975685,0.9611651,0.97965735,1.0,0.90199786
6VC,0.89691716,0.9611651,0.97996014,1.0,0.902586
1G7,0.89899147,0.9611651,0.9808894,1.0,0.89779484
1N3,0.89864814,0.9611651,0.9801856,1.0,0.9041687
1GZ,0.898238,0.9611651,0.980411,1.0,0.89755374
2LT,0.898129,0.9611651,0.9800876,1.0,0.899775
1LG,0.89659005,0.91818184,0.96609503,0.9535865,0.90434223
2PH,0.89869994,0.9611651,0.980053,1.0,0.90447503
1S1,0.8987059,0.9611651,0.98005116,1.0,0.9044836
2DV,0.89659566,0.91818184,0.98000187,1.0,0.9022483
3N3,0.89830697,0.9611651,0.9802982,1.0,0.89759946
2TE,0.8969647,0.9611651,0.97992194,1.0,0.9025753
4XX,0.8975426,0.9611651,0.9805046,1.0,0.9029593
2LA,0.8980706,0.9611651,0.98017913,1.0,0.9004211
1G9,0.89697224,0.9611651,0.9800863,1.0,0.9017439
1AX,0.89822626,0.9611651,0.9803523,1.0,0.8992903
4U3,0.8978992,0.9611651,0.98023456,1.0,0.8981256
2FM,0.89744246,0.9611651,0.9785259,1.0,0.89005876
2AR,0.8990335,0.9611651,0.9802224,1.0,0.89734805
2DT,0.8990878,0.9611651,0.98058516,1.0,0.900582
1HQ,0.8981701,0.9611651,0.9806815,1.0,0.9009172
1LE,0.89832735,0.9611651,0.98002464,1.0,0.89508694
4XT,0.89744765,0.9611651,0.98031414,1.0,0.901971
2SB,0.89756554,0.9611651,0.9801089,1.0,0.9016742
6VC,0.89688694,0.9611651,0.9799298,1.0,0.902588
2AR,0.89873797,0.9611651,0.98005474,1.0,0.90425813
6V9,0.89695364,0.9611651,0.9799242,1.0,0.90259105
2DU,0.8991771,0.9611651,0.9805493,1.0,0.9006345
3UJ,0.8976981,0.9611651,0.9793721,1.0,0.8964605
1UK,0.8986798,0.9611651,0.9800511,1.0,0.9044822
1LE,0.89809096,0.9611651,0.98018575,1.0,0.90041554
2PH,0.898681,0.9611651,0.9800664,1.0,0.904468
2DU,0.89911246,0.9611651,0.9805541,1.0,0.90064204
1QF,0.8968987,0.9611651,0.9799186,1.0,0.9026201
2GM,0.89870495,0.9611651,0.98002976,1.0,0.90296537
4M3,0.89806163,0.9611651,0.9808704,1.0,0.9005256
1WB,0.8991307,0.9611651,0.98054093,1.0,0.9006007
2E7,0.89899105,0.9611651,0.98067135,1.0,0.9008098
1LU,0.8975696,0.9611651,0.97996473,1.0,0.9011896
1RI,0.8961573,0.91818184,0.9762596,0.9582443,0.9016188
1Q8,0.8987191,0.9611651,0.9800642,1.0,0.904405
5AV,0.89803404,0.9611651,0.98036206,1.0,0.8970828
5T5,0.89734757,0.9611651,0.9805252,1.0,0.9022663
5KX,0.89794534,0.9611651,0.9802823,1.0,0.9015159
1LU,0.89813817,0.9611651,0.9799573,1.0,0.89236075
2GM,0.8987547,0.9611651,0.9800506,1.0,0.90134066
5KX,0.8979306,0.9611651,0.9802837,1.0,0.90150183
1GS,0.897128,0.9611651,0.979787,1.0,0.89707834
1QO,0.898442,0.9611651,0.9798507,1.0,0.9032144
5T7,0.89756715,0.9611651,0.9804718,1.0,0.9014048
1UZ,0.89734185,0.9611651,0.9808199,1.0,0.90293944
5U3,0.8975571,0.9611651,0.9804292,1.0,0.9010794
1V0,0.8976166,0.9611651,0.9804677,1.0,0.89974374
5T5,0.8978388,0.9611651,0.9806502,1.0,0.90161705
1FA,0.8983597,0.9611651,0.98074794,1.0,0.9009397
1DZ,0.8977791,0.9611651,0.9799035,1.0,0.90320826
5KX,0.89792687,0.9611651,0.9802744,1.0,0.9015116
5EY,0.89827484,0.9611651,0.9801664,1.0,0.89951223
1UZ,0.8973755,0.9611651,0.9803462,1.0,0.8996202
2E7,0.8990853,0.9611651,0.98058313,1.0,0.90059274
1BZ,0.8969117,0.9611651,0.97992206,1.0,0.9025729
5EY,0.8992617,0.9611651,0.98051983,1.0,0.9003146
5KX,0.89795834,0.9611651,0.98030925,1.0,0.901628
2GN,0.89882696,0.9611651,0.9801994,1.0,0.90340793
1CI,0.8981174,0.9611651,0.9786244,1.0,0.8973924
1QN,0.8984334,0.9611651,0.9798496,1.0,0.90322274
1QO,0.898034,0.9611651,0.9802407,1.0,0.9047778
1Q8,0.8986902,0.9611651,0.98005074,1.0,0.9044692
1FN,0.89808345,0.9611651,0.9807295,1.0,0.905771
3WO,0.8977471,0.9611651,0.98086035,1.0,0.9047337
3WC,0.8975301,0.9611651,0.98086435,1.0,0.90129405
3IP,0.89862645,0.9611651,0.98001075,1.0,0.8999347
1LO,0.89841783,0.9611651,0.98048073,1.0,0.9032103
1LU,0.89856833,0.9611651,0.98073995,1.0,0.89844465
1N4,0.8970765,0.9611651,0.9799687,1.0,0.8987733
1LO,0.8979188,0.9611651,0.9806537,1.0,0.8998127
2GN,0.8983604,0.9611651,0.9797633,1.0,0.9051313
2GM,0.8990666,0.9611651,0.97998136,1.0,0.90394044
2BQ,0.8980779,0.9611651,0.9800874,1.0,0.89564115
3WC,0.8985712,0.9611651,0.98084694,1.0,0.90268594
1FA,0.89811903,0.9611651,0.9807587,1.0,0.90151596
1Q8,0.8985834,0.9611651,0.98017764,1.0,0.9043905
1FN,0.89805645,0.9611651,0.98073304,1.0,0.90576553
1JX,0.89766973,0.9611651,0.9807396,1.0,0.9006055
5T5,0.8975519,0.9611651,0.97984594,1.0,0.897186
1RI,0.8969586,0.9611651,0.97992754,1.0,0.9025207
2GN,0.89863485,0.9611651,0.9800499,1.0,0.9045184
1LO,0.8976911,0.9611651,0.9801981,1.0,0.8982825
1WB,0.89788586,0.9611651,0.98075175,1.0,0.9032354
2GN,0.898048,0.9611651,0.979992,1.0,0.9044056
1DB,0.89769435,0.9611651,0.98102516,1.0,0.9039249
4WV,0.8974412,0.9611651,0.9800648,1.0,0.89882296
5T5,0.8978889,0.9611651,0.9805489,1.0,0.900562
2AU,0.8986704,0.9611651,0.98004925,1.0,0.9044781
1Q8,0.89853746,0.9611651,0.980167,1.0,0.9043786
1CR,0.8978873,0.9611651,0.98070234,1.0,0.8999427
5T5,0.89794964,0.9611651,0.98054117,1.0,0.9005645
2ZM,0.89909464,0.9611651,0.98058254,1.0,0.9005913
2D3,0.89916635,0.9611651,0.9805884,1.0,0.90057784
6VG,0.8969274,0.9611651,0.9799566,1.0,0.9025795
1FY,0.89831764,0.9611651,0.9808608,1.0,0.9022807
1LO,0.89857036,0.9611651,0.980631,1.0,0.8976786
1SB,0.89773077,0.9611651,0.97995627,1.0,0.901532
5T5,0.8973399,0.9611651,0.98022676,1.0,0.90078753
1QO,0.8985095,0.9611651,0.97990614,1.0,0.9031912
1F9,0.89827687,0.9611651,0.98097104,1.0,0.90233696
1SB,0.897183,0.9611651,0.98016065,1.0,0.90157944
2GN,0.8993459,0.9611651,0.9801103,1.0,0.9046036
1RI,0.8969403,0.9611651,0.97992504,1.0,0.90255153
1LO,0.8974106,0.9611651,0.98038656,1.0,0.8997867
2E5,0.8988121,0.9611651,0.98058265,1.0,0.90069884
1LO,0.895813,0.88372093,0.9807365,1.0,0.90466815
2GN,0.898701,0.9611651,0.9800498,1.0,0.9044712
1SB,0.89752316,0.9611651,0.9800735,1.0,0.9015674
2ZM,0.89907616,0.9611651,0.9805699,1.0,0.9005858
1CQ,0.89688563,0.9611651,0.97997034,1.0,0.90255016
1V6,0.89697474,0.9611651,0.9799169,1.0,0.902584
2DV,0.89695495,0.9611651,0.9799477,1.0,0.9025486
2B7,0.8969891,0.9611651,0.97762954,0.983871,0.9023824
3ZY,0.8980288,0.9611651,0.9805381,1.0,0.90036345
1LE,0.89706516,0.9611651,0.9797974,1.0,0.89703536
1AX,0.898219,0.9611651,0.9803577,1.0,0.8992925
3UK,0.8977055,0.9611651,0.9808595,1.0,0.9004174
2DT,0.8990754,0.9611651,0.9805869,1.0,0.9005826
2DV,0.8964683,0.91818184,0.9800653,1.0,0.9025969
1V6,0.8969674,0.9611651,0.97991085,1.0,0.9025724
6VA,0.8969216,0.9611651,0.9799601,1.0,0.90258306
2DV,0.8969998,0.9611651,0.97988075,1.0,0.9024642
1AX,0.8982104,0.9611651,0.9803545,1.0,0.89929825
1GN,0.8982812,0.9611651,0.9805772,1.0,0.89755523
2EI,0.89744127,0.9611651,0.98047435,1.0,0.9023374
1AX,0.89822763,0.9611651,0.98036,1.0,0.89929193
6VA,0.89693624,0.9611651,0.9799631,1.0,0.90257066
1V6,0.89702374,0.9611651,0.97990817,1.0,0.90255415
1V6,0.89781994,0.9611651,0.98060256,1.0,0.89994645
1LE,0.8971668,0.9611651,0.9797829,1.0,0.897065
1V6,0.8978564,0.9611651,0.98072124,1.0,0.8998315
1V6,0.8969865,0.9611651,0.97995424,1.0,0.9025397
2DV,0.8968321,0.95809484,0.97984785,1.0,0.90314287
2PE,0.89693826,0.9611651,0.9799718,1.0,0.9025753
3ZV,0.89857584,0.9611651,0.9802706,1.0,0.9031117
1GZ,0.89821464,0.9611651,0.9804167,1.0,0.8975492
1BJ,0.8978222,0.9611651,0.98081255,1.0,0.8990665
1SF,0.89816636,0.9611651,0.9808865,1.0,0.8977242
1V6,0.8979216,0.9611651,0.98065776,1.0,0.89989656
2AR,0.8989876,0.9611651,0.98022306,1.0,0.8973642
6AQ,0.89826757,0.9611651,0.980895,1.0,0.90194225
1Q8,0.89859056,0.9611651,0.98017156,1.0,0.9043766
6AQ,0.898284,0.9611651,0.9809059,1.0,0.90194994
2E5,0.89918536,0.9611651,0.9805383,1.0,0.9006237
b00,0.8976637,0.9611651,0.98082364,1.0,0.90035003
b1b,0.8974202,0.9611651,0.9798523,1.0,0.89721274
b21,0.8981627,0.9611651,0.97861516,1.0,0.8973683
b2c,0.89767694,0.9611651,0.9808245,1.0,0.9003463
b2d,0.8981631,0.9611651,0.9803601,1.0,0.899205
b2f,0.89742696,0.9611651,0.97969455,1.0,0.90103436
b32,0.89813143,0.9611651,0.9786411,1.0,0.89740163
b35,0.89824766,0.9611651,0.97982705,1.0,0.90079576
b43,0.89898115,0.9611651,0.9801871,1.0,0.89739394
b50,0.8987919,0.9611651,0.97998315,1.0,0.8996356
b52,0.89883,0.9611651,0.979988,1.0,0.89960504
b59,0.89754105,0.9611651,0.9800883,1.0,0.9015985
b59,0.8981549,0.9611651,0.9808311,1.0,0.9036242
b79,0.89800733,0.9611651,0.9803539,1.0,0.8971174
b80,0.89760345,0.9611651,0.98010343,1.0,0.9016974
b99,0.89876115,0.9611651,0.98018354,1.0,0.89619064
4I4,0.89645356,0.91818184,0.9801533,1.0,0.8988937
2y9,0.8953469,0.88372093,0.97869885,1.0,0.9025992
4I4,0.89641535,0.91818184,0.98022574,1.0,0.89899176
4I4,0.8968953,0.9611651,0.97967964,1.0,0.9045983
4I4,0.8974362,0.9611651,0.979834,1.0,0.9029097
4I4,0.89653957,0.91818184,0.980339,1.0,0.89891076
4I4,0.8969003,0.9611651,0.97993845,1.0,0.9065663
2Y9,0.8959587,0.91818184,0.9782747,1.0,0.90144044
4I4,0.89742523,0.9611651,0.9798238,1.0,0.90290076
4I4,0.8961401,0.91818184,0.9801429,1.0,0.89950776
5YN,0.89570284,0.88372093,0.9505342,0.8333333,0.8883071
4j3,0.8939076,0.88372093,0.96880823,0.9535865,0.88876617
2y4,0.89326435,0.86538464,0.96978915,0.9535865,0.8867847
2FH,0.89616114,0.91818184,0.94592565,0.8115942,0.8842466
2FH,0.89619327,0.91818184,0.94611996,0.8115942,0.88429695
2FH,0.89493674,0.88372093,0.89303243,0.68421054,0.8788882
2FH,0.89687365,0.9611651,0.9130042,0.7586207,0.88247
2FH,0.89613247,0.91818184,0.94605243,0.8115942,0.8843231
6J4,0.89551246,0.88372093,0.92526317,0.8115942,0.876588
4J3,0.89417464,0.88372093,0.9680752,0.9535865,0.88531756
6J3,0.8946004,0.88372093,0.89912856,0.68421054,0.8814062
4J3,0.8882026,0.62068963,0.9681138,0.9535865,0.8891791
4J3,0.89265996,0.86538464,0.9703021,0.9535865,0.88901114
4J3,0.8936192,0.86538464,0.9638839,0.9,0.8840075
4J3,0.89395773,0.88372093,0.96888775,0.9535865,0.8879333
b9e,0.8939768,0.88372093,0.96796185,0.9535865,0.8855358
ba2,0.8963723,0.91818184,0.9495451,0.8333333,0.88763857
ba9,0.8962476,0.91818184,0.94419205,0.8115942,0.8842774
bac,0.8926124,0.86538464,0.97024685,0.9535865,0.8890433
6KZ,0.8949564,0.88372093,0.946125,0.8115942,0.8771812
3al,0.89504576,0.88372093,0.97937334,1.0,0.89015985
6gh,0.8982715,0.9611651,0.97933745,1.0,0.8967698
7L6,0.8957625,0.88372093,0.97818357,1.0,0.8938944
4N3,0.8955115,0.88372093,0.93180704,0.8115942,0.89527285
1K9,0.89854187,0.9611651,0.9789723,1.0,0.89824754
6JJ,0.8978749,0.9611651,0.9748297,0.9535865,0.8946714
3P7,0.8968676,0.9611651,0.9494055,0.8333333,0.89601195
4N3,0.89488477,0.88372093,0.9440748,0.8115942,0.8990241
7L6,0.8967486,0.91818184,0.979565,1.0,0.89381737
4KZ,0.8969688,0.9611651,0.97029144,0.9535865,0.89293176
7L6,0.89614785,0.91818184,0.9797014,1.0,0.8973329
4N3,0.89601463,0.91818184,0.9260196,0.8115942,0.8951813
2XR,0.8971226,0.9611651,0.9754853,0.9535865,0.907377
6A7,0.89764345,0.9611651,0.9574117,0.9,0.87091416
1K9,0.89865017,0.9611651,0.96811634,0.9535865,0.8882873
6PW,0.8974052,0.9611651,0.9781616,1.0,0.8992511
4N3,0.89490485,0.88372093,0.950701,0.8333333,0.89802194
7L6,0.8961249,0.91818184,0.9797198,1.0,0.8973369
4N3,0.8956417,0.88372093,0.9168054,0.7586207,0.8981977
7L6,0.8961647,0.91818184,0.97974044,1.0,0.8973452
3P5,0.89614594,0.91818184,0.93667465,0.8115942,0.8943401
4MT,0.8980978,0.9611651,0.97296,0.9535865,0.89474106
7JU,0.8972774,0.9611651,0.97957486,1.0,0.89587593
3P5,0.8958417,0.91818184,0.8986549,0.68421054,0.894175
4N3,0.8953304,0.88372093,0.9135188,0.7586207,0.8944536
7L6,0.89576423,0.88372093,0.9782825,1.0,0.8939233
7JU,0.8957495,0.88372093,0.9783278,1.0,0.8939442
6PW,0.89740133,0.9611651,0.9779847,1.0,0.8991891
6A7,0.898284,0.9611651,0.96869266,0.9535865,0.8946483
7L6,0.8955625,0.88372093,0.9780019,1.0,0.8971767
5VY,0.89674497,0.91818184,0.96904606,0.9535865,0.8982312
1SL,0.89790916,0.9611651,0.9719858,0.9535865,0.9050177
1EG,0.8959589,0.91818184,0.9800016,1.0,0.89679825
3ZH,0.8980589,0.9611651,0.9772719,0.983871,0.8940415
4ZR,0.8983953,0.9611651,0.973692,0.9535865,0.8971968
1SL,0.89780205,0.9611651,0.97399276,0.9535865,0.90774435
2OX,0.89741135,0.9611651,0.977261,0.983871,0.89097565
6XI,0.89992964,0.9611651,0.9078526,0.7586207,0.9050418
1SL,0.89442563,0.88372093,0.96869725,0.9535865,0.89698154
5B1,0.8949477,0.88372093,0.5227177,0.47058824,0.89437246
1JZ,0.8968073,0.91818184,0.97835904,1.0,0.89400375
2OX,0.8936592,0.86538464,0.96968573,0.9535865,0.90313035
3C2,0.8966569,0.91818184,0.9032638,0.7586207,0.8956255
5K8,0.8946248,0.88372093,0.9244228,0.8115942,0.8961706
6YA,0.8984744,0.9611651,0.95371735,0.8687555,0.89184135
3KQ,0.898507,0.9611651,0.9774368,0.983871,0.8967647
2IT,0.8977881,0.9611651,0.97320145,0.9535865,0.9077463
5JQ,0.8952821,0.88372093,0.95080584,0.8333333,0.8975728
5JP,0.89891976,0.9611651,0.9534495,0.84615386,0.89984703
4ZE,0.8974249,0.9611651,0.96822226,0.9535865,0.898079
2IT,0.8977642,0.9611651,0.97366357,0.9535865,0.90776175
3WB,0.8948804,0.88372093,0.9632766,0.9,0.8840052
1WM,0.89876944,0.9611651,0.9690433,0.9535865,0.89940894
1EG,0.89545,0.88372093,0.980445,1.0,0.8964965
1XP,0.8980589,0.9611651,0.97119284,0.9535865,0.90394396
3WB,0.8954656,0.88372093,0.9665908,0.9535865,0.8858786
1DV,0.89883375,0.9611651,0.9522693,0.84615386,0.8997402
3WB,0.8968791,0.9611651,0.97826844,1.0,0.89784604
6GH,0.8984216,0.9611651,0.9791251,1.0,0.89654505
